name,type,size_mb,rows,owner,active_owner,evidence_source,initial_classification,notes
ab12CD34_postmeta,InnoDB,156.41,214954,wordpress-core,yes,information_schema + plugin list,KEEP,
ab12CD34_woo_mailerlite_carts,InnoDB,76.61,191946,woo-mailerlite,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin woo-mailerlite is inactive
ab12CD34_posts,InnoDB,39.67,35407,wordpress-core,yes,information_schema + plugin list,KEEP,
export_media_meta,InnoDB,19.55,38312,custom-export-script,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin custom-export-script is inactive
ab12CD34_mclean_cache,InnoDB,16.08,34472,media-cleaner,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin media-cleaner is inactive
ab12CD34_frmt_form_views,InnoDB,15.58,96750,forminator,no,information_schema + plugin list,REVIEW,Plugin forminator is inactive
ab12CD34_ewwwio_images,InnoDB,11.58,30847,ewww-image-optimizer,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin ewww-image-optimizer is inactive
export_wc_attachments_lookup,InnoDB,10.52,24957,custom-export-script,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin custom-export-script is inactive
ab12CD34_wc_product_attributes_lookup,InnoDB,10.06,61844,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_mclean_refs,InnoDB,7.03,34472,media-cleaner,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin media-cleaner is inactive
ab12CD34_term_relationships,InnoDB,7.03,77224,wordpress-core,yes,information_schema + plugin list,KEEP,
ab12CD34_pmxi_images,InnoDB,4.52,17595,wp-all-import-pro,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-all-import-pro is inactive
ab12CD34_options,InnoDB,3.78,2121,wordpress-core,yes,information_schema + plugin list,KEEP,
export_media_posts,InnoDB,3.52,5920,custom-export-script,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin custom-export-script is inactive
ab12CD34_yoast_indexable,InnoDB,3.23,2487,wordpress-seo,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-seo is inactive
ab12CD34_wc_product_meta_lookup,InnoDB,3.16,8456,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_rank_math_analytics_objects,InnoDB,3.03,6510,seo-by-rank-math,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_orders_meta,InnoDB,2.38,3640,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_pmxe_posts,InnoDB,1.52,23100,wp-all-export-pro,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-all-export-pro is inactive
export_wc_product_gallery_map,InnoDB,1.52,11536,custom-export-script,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin custom-export-script is inactive
export_wc_products_identity,InnoDB,1.52,5580,custom-export-script,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin custom-export-script is inactive
ab12CD34_usermeta,InnoDB,0.91,4664,wordpress-core,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_order_itemmeta,InnoDB,0.64,4229,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_term_taxonomy,InnoDB,0.55,2331,wordpress-core,yes,information_schema + plugin list,KEEP,
wp_bv_ip_store,InnoDB,0.50,5106,blogvault,no,information_schema + plugin list,BLOCKED,Plugin blogvault is inactive
ab12CD34_termmeta,InnoDB,0.48,2231,wordpress-core,yes,information_schema + plugin list,KEEP,
ab12CD34_rank_math_internal_links,InnoDB,0.47,2076,seo-by-rank-math,yes,information_schema + plugin list,KEEP,
ab12CD34_comments,InnoDB,0.44,728,wordpress-core,yes,information_schema + plugin list,KEEP,
ab12CD34_litespeed_img_optming,InnoDB,0.41,1400,litespeed-cache,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin litespeed-cache is inactive
ab12CD34_pmxe_google_cats,InnoDB,0.39,5480,wp-all-export-pro,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-all-export-pro is inactive
ab12CD34_pmxi_posts,InnoDB,0.39,4800,wp-all-import-pro,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-all-import-pro is inactive
ab12CD34_terms,InnoDB,0.38,2331,wordpress-core,yes,information_schema + plugin list,KEEP,
ab12CD34_yoast_indexable_hierarchy,InnoDB,0.36,2266,wordpress-seo,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-seo is inactive
ab12CD34_e_submissions,InnoDB,0.33,84,elementor,no,information_schema + plugin list,REVIEW,Plugin elementor is inactive
ab12CD34_gla_budget_recommendations,InnoDB,0.33,4230,google-listings-and-ads,no,information_schema + plugin list,REVIEW,Plugin google-listings-and-ads is inactive
ab12CD34_rank_math_internal_meta,InnoDB,0.33,7281,seo-by-rank-math,yes,information_schema + plugin list,KEEP,
ab12CD34_compressx_images_meta,InnoDB,0.30,85,compressx,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin compressx is inactive
ab12CD34_actionscheduler_actions,InnoDB,0.27,64,woocommerce/action-scheduler,yes,information_schema + plugin list,KEEP,
export_wc_product_featured_map,InnoDB,0.27,5634,custom-export-script,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin custom-export-script is inactive
ab12CD34_gla_merchant_price_benchmarks,InnoDB,0.22,708,google-listings-and-ads,no,information_schema + plugin list,REVIEW,Plugin google-listings-and-ads is inactive
ab12CD34_wc_orders,InnoDB,0.20,158,woocommerce,yes,information_schema + plugin list,KEEP,
used_attachments,InnoDB,0.20,6194,custom-export-script,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin custom-export-script is inactive
ab12CD34_e_notes,InnoDB,0.19,0,elementor,no,information_schema + plugin list,REVIEW,Plugin elementor is inactive
ab12CD34_gla_merchant_issues,InnoDB,0.19,528,google-listings-and-ads,no,information_schema + plugin list,REVIEW,Plugin google-listings-and-ads is inactive
ab12CD34_pmxe_exports,InnoDB,0.17,5,wp-all-export-pro,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-all-export-pro is inactive
ab12CD34_e_submissions_values,InnoDB,0.16,420,elementor,no,information_schema + plugin list,REVIEW,Plugin elementor is inactive
ab12CD34_wpforms_payments,InnoDB,0.16,0,wpforms,no,information_schema + plugin list,REVIEW,Plugin wpforms is inactive
ab12CD34_wt_iew_action_history,InnoDB,0.14,7,webtoffee-import-export,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin webtoffee-import-export is inactive
ab12CD34_e_submissions_actions_log,InnoDB,0.13,84,elementor,no,information_schema + plugin list,REVIEW,Plugin elementor is inactive
ab12CD34_pmxi_imports,InnoDB,0.13,3,wp-all-import-pro,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-all-import-pro is inactive
ab12CD34_revslider_css,InnoDB,0.13,109,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_wc_order_addresses,InnoDB,0.13,316,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_order_product_lookup,InnoDB,0.13,179,woocommerce,yes,information_schema + plugin list,KEEP,
wp_options,InnoDB,0.13,154,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
ab12CD34_jetpack_sync_queue,InnoDB,0.11,7,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_rank_math_analytics_inspections,InnoDB,0.11,0,seo-by-rank-math,yes,information_schema + plugin list,KEEP,
ab12CD34_users,InnoDB,0.09,109,wordpress-core,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_order_operational_data,InnoDB,0.09,158,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_order_stats,InnoDB,0.09,163,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_order_items,InnoDB,0.09,512,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wpml_mails,InnoDB,0.09,4,wp-mail-logging,no,information_schema + plugin list,REVIEW,Plugin wp-mail-logging is inactive
ab12CD34_yoast_primary_term,InnoDB,0.09,357,wordpress-seo,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-seo is inactive
wp_comments,InnoDB,0.09,0,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
ab12CD34_mwai_tasks,InnoDB,0.08,2,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_pmxi_templates,InnoDB,0.08,2,wp-all-import-pro,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-all-import-pro is inactive
ab12CD34_rank_math_analytics_gsc,InnoDB,0.08,0,seo-by-rank-math,yes,information_schema + plugin list,KEEP,
ab12CD34_revslider_slides,InnoDB,0.08,3,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_wc_admin_note_actions,InnoDB,0.08,136,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_admin_notes,InnoDB,0.08,96,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_customer_lookup,InnoDB,0.08,161,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_downloadable_product_permissions,InnoDB,0.08,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_p24_order_map,InnoDB,0.08,96,imoje,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_p24_subscription,InnoDB,0.08,0,imoje,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_tax_rates,InnoDB,0.08,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_yith_wcan_cache,InnoDB,0.08,7,yith-woocommerce-ajax-navigation,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin yith-woocommerce-ajax-navigation is inactive
wp_posts,InnoDB,0.08,5,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
ab12CD34_cmplz_cookies,InnoDB,0.06,220,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_e_notes_users_relations,InnoDB,0.06,0,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_frmt_form_entry,InnoDB,0.06,36,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_frmt_form_entry_meta,InnoDB,0.06,100,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_um_metadata,InnoDB,0.06,0,ultimate-member,no,information_schema + plugin list,REVIEW,Plugin ultimate-member is inactive
ab12CD34_wfblocks7,InnoDB,0.06,0,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_wfsnipcache,InnoDB,0.06,0,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_woocommerce_shipping_zone_locations,InnoDB,0.06,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wpforms_payment_meta,InnoDB,0.06,0,wpforms,no,information_schema + plugin list,REVIEW,Plugin wpforms is inactive
wp_users,InnoDB,0.06,0,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
ab12CD34_actionscheduler_logs,InnoDB,0.05,141,woocommerce/action-scheduler,yes,information_schema + plugin list,KEEP,
ab12CD34_apsl_users_social_profile_details,InnoDB,0.05,0,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_cky_banners,InnoDB,0.05,2,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_commentmeta,InnoDB,0.05,14,wordpress-core,yes,information_schema + plugin list,KEEP,
ab12CD34_gla_shipping_rates,InnoDB,0.05,0,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_mailerlite_checkouts,InnoDB,0.05,31,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_mclean_scan,InnoDB,0.05,0,unknown,no,information_schema + plugin list,BLOCKED,Owner not identified
ab12CD34_rank_math_redirections,InnoDB,0.05,23,seo-by-rank-math,yes,information_schema + plugin list,KEEP,
ab12CD34_revslider_sliders,InnoDB,0.05,2,revslider,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin revslider is inactive
ab12CD34_smush_dir_images,InnoDB,0.05,0,wp-smushit,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wp-smushit is inactive
ab12CD34_snippets,InnoDB,0.05,5,code-snippets,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin code-snippets is inactive
ab12CD34_wc_download_log,InnoDB,0.05,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_order_coupon_lookup,InnoDB,0.05,67,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wc_order_tax_lookup,InnoDB,0.05,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wfconfig,InnoDB,0.05,227,wordfence,no,information_schema + plugin list,BLOCKED,Plugin wordfence is inactive
ab12CD34_woocommerce_api_keys,InnoDB,0.05,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_p24_data,InnoDB,0.05,18,imoje,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_payment_tokenmeta,InnoDB,0.05,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_sessions,InnoDB,0.05,2,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_woocommerce_tax_rate_locations,InnoDB,0.05,0,woocommerce,yes,information_schema + plugin list,KEEP,
ab12CD34_wpmailsmtp_emails_queue,InnoDB,0.05,0,wp-mail-smtp,no,information_schema + plugin list,BLOCKED,Plugin wp-mail-smtp is inactive
ab12CD34_yith_wcwl_lists,InnoDB,0.05,16,yith-woocommerce-wishlist,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin yith-woocommerce-wishlist is inactive
wp_commentmeta,InnoDB,0.05,0,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
wp_postmeta,InnoDB,0.05,2,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
wp_term_taxonomy,InnoDB,0.05,0,wordpress-core-dup,no,information_schema + plugin list,PURGE-CANDIDATE,Plugin wordpress-core-dup is inactive
